Travis,,Fabian,,Trevor,,Mike,,Mason,,Andrew,,Kenzie,,Kyle,,Ryan,,Richard,,Joe,,Chay,
Connor McDavid,0,Carter Verhaeghe,0,Nathan MacKinnon,0,Alex Ovechkin,0,John Tavares,0,Anze Kopitar,0,Kirill Kaprizov,0,Semyon Varlamov,0,Sidney Crosby,0,Seth Jones,0,Patrick Kane,0,Carey Price,0
Jake Guentzel,0,Kris Letang,0,Steven Stamkos,0,Johnny Gaudreau,0,Cale Makar,0,Aaron Ekblad,0,Jakob Chychrun,1,Max Pacioretty,0,Victor Hedman,0,John Carlson,0,Roman Josi,0,Vladimir Tarasenko,1
Tyson Barrie,0,Alex Pietrangelo,0,Evgeni Malkin,1,Juuse Saros,1,Nikita Kucherov,1,Tony DeAngelo,2,Andrei Svechnikov,2,T.J. Oshie,1,Ryan Nugent-Hopkins,1,Ondrej Palat,1,Sam Reinhart,1,Tomas Hertl,3
Auston Matthews,1,Torey Krug,2,John Klingberg,1,Jamie Benn,3,Taylor Hall,2,Dougie Hamilton,3,Claude Giroux,4,Nicklas Backstrom,2,Filip Forsberg,3,Andre Burakovsky,2,Alex Nedeljkovic,2,Charlie McAvoy,4
Sergei Bobrovsky,2,Vincent Trocheck,2,Blake Wheeler,2,Jakub Voracek,4,Patrik Laine,3,William Nylander,8,Alexis Lafreniere,5,Drew Doughty,4,Brayden Point,4,Anders Lee,3,Sean Monahan,3,Mark Giordano,5
Chris Kreider,4,Elias Pettersson,3,Brent Burns,2,Jack Eichel,4,Tyler Toffoli,3,Mark Scheifele,10,Joel Eriksson Ek,5,Patric Hornqvist,5,Robin Lehner,4,Tom Wilson,3,MacKenzie Blackwood,4,Mark Stone,5
Rasmus Dahlin,5,Ilya Sorokin,4,Jack Hughes,3,Samuel Girard,5,Mike Smith,4,Kyle Connor,12,Cal Petersen,6,Marc-Andre Fleury,6,Patrice Bergeron,5,MacKenzie Weegar,4,Tim Stuetzle,6,Roope Hintz,6
Gabriel Landeskog,6,Jack Campbell,5,Frederik Andersen,6,Jared Spurgeon,6,Pierre-Luc Dubois,7,David Pastrnak,12,Jake Oettinger,6,Alex Killorn,8,Tyler Seguin,5,Darcy Kuemper,5,Trevor Zegras,7,Kasperi Kapanen,7
William Karlsson,8,Jacob Markstrom,6,J.T. Miller,7,Pavel Francouz,6,Nikolaj Ehlers,8,Mika Zibanejad,13,Erik Karlsson,8,Zach Hyman,9,Jonathan Huberdeau,7,Anthony Mantha,6,Jordan Eberle,8,Brendan Gallagher,7
Logan Couture,9,Andrei Vasilevskiy,8,Leon Draisaitl,10,Linus Ullmark,7,Josh Anderson,9,Evgeny Kuznetsov,13,Devon Toews,9,Sam Bennett,11,Shea Theodore,7,Yanni Gourde,7,Tristan Jarry,10,Oliver Ekman-Larsson,8
Mitchell Marner,11,Bryan Rust,9,Artemi Panarin,10,Miro Heiskanen,8,Zach Werenski,9,Carter Hart,13,Jamie Drysdale,11,Jason Robertson,12,Brock Boeser,8,Mikhail Sergachev,8,Matthew Tkachuk,11,Philipp Grubauer,9
Spencer Knight,12,Oliver Bjorkstrand,10,Quinn Hughes,11,Bo Horvat,9,Josh Morrissey,10,Ivan Barbashev,14,Joonas Korpisalo,11,Evan Rodrigues,14,John Gibson,9,Elias Lindholm,10,Filip Hronek,13,Cam Talbot,9
Ryan Pulock,13,Sebastian Aho,11,Morgan Rielly,12,Josh Norris,10,Brad Marchand,11,Anton Lundell,14,Conor Garland,12,David Perron,14,Dylan Larkin,10,Adin Hill,12,Alex DeBrincat,14,Cam Atkinson,10
Anthony Cirelli,14,Tyler Bertuzzi,13,Aleksander Barkov,13,Cole Caufield,11,Jordan Binnington,12,Damon Severson,14,Dominik Kubalik,13,Garnet Hathaway,14,Vitek Vanecek,11,Neal Pionk,13,Shayne Gostisbehere,14,Jared McCann,11
Kevin Fiala,14,Tanner Jeannot,14,Gustav Nyquist,14,Matt Duchene,14,Thomas Chabot,13,Evan Bouchard,14,Boone Jenner,14,Adrian Kempe,14,Drake Batherson,12,Ryan Strome,14,Kevin Shattenkirk,14,Ryan O'Reilly,11
Justin Schultz,14,Anthony Duclair,14,Robert Thomas,14,Alex Goligoski,14,Jesper Bratt,14,Matt Boldy,14,Phillip Danault,14,Brandon Montour,14,Brayden Schenn,13,Chandler Stephenson,14,Nazem Kadri,14,Nico Hischier,14
James Reimer,14,Lucas Raymond,14,Jordan Kyrou,14,Noah Hanifin,14,Viktor Arvidsson,14,Alexander Kerfoot,14,Valeri Nichushkin,14,Radko Gudas,14,Anthony Beauvillier,14,Mats Zuccarello,14,Mikael Granlund,14,Victor Olofsson,14
Colton Parayko,14,Ryan Johansen,14,Oliver Kylington,14,Mike Hoffman,14,Moritz Seider,14,Ryan Hartman,14,Reilly Smith,14,Tage Thompson,14,Nick Jensen,14,Dmitry Orlov,14,Alex Iafallo,17,Jonathan Quick,14
Stuart Skinner,14,Matt Grzelcyk,14,Igor Shesterkin,14,Brock Nelson,14,Clayton Keller,14,Ilya Samsonov,14,Andrew Mangiapane,14,Marcus Foligno,14,Anton Forsberg,14,Kyle Okposo,14,Nils Hoglander,18,Tuukka Rask,14
